t_s,TAS_m_s,ref_m_s,thrust_N,err_m_s
13.8,58.401369871742055,61.73328,2793.6005859375,3.3319101282579453
13.9,58.41023971244982,61.73328,2799.116943359375,3.323040287550178
14.0,58.41928888849955,61.73328,2804.5166015625,3.3139911115004494
14.100000000000001,58.42851339642354,61.73328,2809.801513671875,3.3047666035764607
14.200000000000001,58.437909299694375,61.73328,2814.97265625,3.295370700305625
14.3,58.44747269608481,61.73328,2820.031494140625,3.285807303915192
14.4,58.45719973395992,61.73328,2824.979736328125,3.2760802660400827
14.5,58.46708662040839,61.73328,2829.818359375,3.2661933795916127
14.600000000000001,58.477129596760484,61.73328,2834.54931640625,3.2561504032395163
14.700000000000001,58.48732497118602,61.73328,2839.175537109375,3.245955028813981
14.8,58.49766915127452,61.73328,2843.6943359375,3.2356108487254787
14.9,58.50815845648576,61.73328,2848.110107421875,3.2251215435142413
15.0,58.51878935462397,77.1666,10615.3857421875,18.647810645376033
15.100000000000001,58.78877599026126,77.1666,10509.5908203125,18.377824009738745
15.200000000000001,59.05507209824752,77.1666,10431.146484375,18.11152790175248
15.3,59.318586180037805,77.1666,10353.212890625,17.848013819962198
15.4,59.57933029348248,77.1666,10275.87890625,17.587269706517525
15.5,59.837319743951944,77.1666,10199.1484375,17.329280256048058
15.600000000000001,60.09257023521983,77.1666,10123.0166015625,17.07402976478017
15.700000000000001,60.345097565901504,77.1666,10047.4912109375,16.821502434098498
15.8,60.59491804382893,77.1666,9972.56640625,16.57168195617107
15.9,60.84204802009641,77.1666,9898.244140625,16.32455197990359
16.0,61.08650414112986,77.1666,9824.5234375,16.080095858870145
16.1,61.32830324222326,77.1666,9751.404296875,15.838296757776746
16.2,61.567462371888624,77.1666,9678.88671875,15.599137628111379
16.3,61.80399878387512,77.1666,9606.9697265625,15.36260121612488
16.400000000000002,62.03792989687073,77.1666,9535.6494140625,15.128670103129274
16.5,62.269273189300165,77.1666,9464.9296875,14.897326810699838
16.6,62.498046453124346,77.1666,9394.8037109375,14.668553546875657
16.7,62.72426742818034,77.1666,9325.27734375,14.442332571819662
16.8,62.94795421958458,77.1666,9256.341796875,14.218645780415422
16.900000000000002,63.169124802072936,77.1666,9188.001953125,13.997475197927066
17.0,63.38779747052626,77.1666,9120.2509765625,13.778802529473744
17.1,63.6039904425899,77.1666,9053.091796875,13.562609557410106
17.2,63.81772217914568,77.1666,8986.517578125,13.34887782085432
17.3,64.029011052605,77.1666,8920.5283203125,13.137588947395002
17.400000000000002,64.23787556996538,77.1666,8855.126953125,12.92872443003462
17.5,64.44433446540404,77.1666,8790.3037109375,12.722265534595962
17.6,64.64840627131085,77.1666,8726.0615234375,12.518193728689155
17.7,64.85010973758781,77.1666,8662.39453125,12.316490262412188
17.8,65.04946353342292,77.1666,8599.3076171875,12.11713646657708
17.900000000000002,65.2464866015623,77.1666,8536.7900390625,11.920113398437707
18.0,65.44119763210618,77.1666,8474.837890625,11.725402367893821
18.1,65.63361528686107,77.1666,8413.4599609375,11.53298471313893
18.2,65.82375861917431,77.1666,8352.6416015625,11.34284138082569
18.3,66.01164628719513,77.1666,8292.3876953125,11.154953712804868
18.400000000000002,66.19729720258853,77.1666,8232.697265625,10.969302797411473
18.5,66.38073033100166,77.1666,8173.55908203125,10.785869668998345
18.6,66.561964346184,77.1666,8114.974609375,10.604635653816004
18.7,66.74101805073279,77.1666,8056.94287109375,10.425581949267212
18.8,66.91791029114034,77.1666,7999.46142578125,10.248689708859658
18.900000000000002,67.0926599056445,77.1666,7942.521484375,10.073940094355507
19.0,67.26528550925109,77.1666,7886.1220703125,9.901314490748916
19.1,67.43580575181105,77.1666,7830.267578125,9.730794248188957
19.200000000000003,67.60423949436188,77.1666,7774.94580078125,9.562360505638125
19.3,67.77060525186432,77.1666,7720.1572265625,9.395994748135678
19.400000000000002,67.93492161469977,77.1666,7665.900390625,9.231678385300228
19.5,68.09720718072825,77.1666,7612.1689453125,9.069392819271755
19.6,68.25748038972162,77.1666,7558.962890625,8.909119610278381
19.700000000000003,68.41575973297023,77.1666,7506.2744140625,8.750840267029773
19.8,68.57206349001902,77.1666,7454.099609375,8.594536509980983
19.900000000000002,68.72640985700555,77.1666,7402.44580078125,8.440190142994453
20.0,68.87881731936972,77.1666,7351.30078125,8.287782680630286
20.1,69.02930399730559,77.1666,7300.6591796875,8.137296002694413
20.200000000000003,69.1778878723088,77.1666,7250.5244140625,7.988712127691201
20.3,69.32458707866664,77.1666,7200.8896484375,7.842012921333364
20.400000000000002,69.46941955896233,77.1666,7151.7490234375,7.697180441037673
20.5,69.61240309498794,77.1666,7103.10595703125,7.554196905012063
20.6,69.75355561574055,77.1666,7054.9521484375,7.41304438425945
20.700000000000003,69.89289480421098,77.1666,7007.283203125,7.27370519578902
20.8,70.0304382263343,77.1666,6960.10009765625,7.136161773665705
20.900000000000002,70.16620350869967,77.1666,6913.39599609375,7.000396491300336
21.0,70.30020807600603,77.1666,6867.17041015625,6.866391923993973
21.1,70.43246936159086,77.1666,6821.4150390625,6.734130638409141
21.200000000000003,70.56300454506032,77.1666,6776.1337890625,6.603595454939679
21.3,70.69183095856239,77.1666,6731.3134765625,6.474769041437611
21.400000000000002,70.81896551463724,77.1666,6686.9619140625,6.347634485362761
21.5,70.94442540618545,77.1666,6643.0625,6.222174593814557
21.6,71.0682272897477,77.1666,6599.62255859375,6.098372710252306
21.700000000000003,71.19038808352072,77.1666,6556.63427734375,5.976211916479286
21.8,71.31092446039585,77.1666,6514.1005859375,5.8556755396041495
21.900000000000002,71.42985320557386,77.1666,6472.001953125,5.736746794426139
22.0,71.54719046545081,77.1666,6430.3544921875,5.619409534549192
22.1,71.66295293708073,77.1666,6389.13818359375,5.503647062919271
22.200000000000003,71.777156660127,77.1666,6348.365234375,5.389443339872997
22.3,71.88981809234193,77.1666,6308.01708984375,5.276781907658076
22.400000000000002,72.00095308106076,77.1666,6268.09814453125,5.165646918939245
22.5,72.11057762903204,77.1666,6228.603515625,5.056022370967966
22.6,72.21870758346017,77.1666,6189.53564453125,4.94789241653983
22.700000000000003,72.32535887966732,77.1666,6150.880859375,4.841241120332683
22.8,72.43054700214479,77.1666,6112.6376953125,4.736052997855211
22.900000000000002,72.53428739172058,77.1666,6074.81201171875,4.63231260827942
23.0,72.63659568912654,77.1666,6037.3896484375,4.530004310873466
23.1,72.7374870655783,77.1666,6000.373046875,4.4291129344216955
23.200000000000003,72.83697677672585,77.1666,5963.7587890625,4.3296232232741545
23.3,72.93507996607703,77.1666,5927.5380859375,4.231520033922976
23.400000000000002,73.03181148506583,77.1666,5891.71337890625,4.134788514934172
23.5,73.12718626752495,77.1666,5856.27978515625,4.0394137324750545
23.6,73.22121908429378,77.1666,5821.23388671875,3.945380915706224
23.700000000000003,73.31392459159244,77.1666,5786.572265625,3.8526754084075634
23.8,73.40531733044855,77.1666,5752.29150390625,3.7612826695514485
23.900000000000002,73.49541172614657,77.1666,5718.38671875,3.6711882738534314
24.0,73.58422203881054,77.1666,5684.8603515625,3.582377961189465
24.1,73.67176260742282,77.1666,5651.70166015625,3.494837392577182
24.200000000000003,73.75804740900739,77.1666,5618.908203125,3.4085525909926133
24.3,73.84309033561513,77.1666,5586.48095703125,3.323509664384872
24.400000000000002,73.92690530789471,77.1666,5554.4189453125,3.2396946921052887
24.5,74.00950620922846,77.1666,5522.708984375,3.1570937907715404
24.6,74.09090647778092,77.1666,5491.357421875,3.0756935222190833
24.700000000000003,74.17111975851007,77.1666,5460.3544921875,2.995480241489929
24.8,74.25015936446316,77.1666,5429.701171875,2.916440635536844
24.900000000000002,74.32803863529757,77.1666,5399.392578125,2.8385613647024286
25.0,74.40477074113483,77.1666,5369.4287109375,2.761829258865177
25.1,74.48036884527981,77.1666,5339.80029296875,2.68623115472019
25.200000000000003,74.55484579409178,77.1666,5310.5087890625,2.611754205908227
25.3,74.6282144755414,77.1666,5281.55322265625,2.5383855244586044
25.400000000000002,74.70048773716717,77.1666,5252.923828125,2.466112262832837
25.5,74.77167809234389,77.1666,5224.6220703125,2.394921907656112
25.6,74.8417980952079,77.1666,5196.642578125,2.3248019047920963
25.700000000000003,74.91086011199329,77.1666,5168.98486328125,2.2557398880067154
25.8,74.97887648388071,77.1666,5141.64501953125,2.1877235161192914
25.900000000000002,75.04585941254385,77.1666,5114.61669921875,2.1207405874561545
26.0,75.11182087850287,77.1666,5087.90185546875,2.054779121497134
26.1,75.17677291813835,77.1666,5061.498046875,1.9898270818616481
26.200000000000003,75.24072747653707,77.1666,5035.396484375,1.9258725234629281
26.3,75.30369619542948,77.1666,5009.6015625,1.8629038045705215
26.400000000000002,75.36569085333899,77.1666,4984.1025390625,1.800909146661013
26.5,75.42672285981392,77.1666,4958.90625,1.7398771401860813
26.6,75.48680384237433,77.1666,4933.9990234375,1.679796157625674
26.700000000000003,75.54594496136787,77.1666,4909.3837890625,1.6206550386321368
26.8,75.60415746452364,77.1666,4885.0576171875,1.5624425354763645
26.900000000000002,75.6614524909254,77.1666,4861.0166015625,1.5051475090746038
27.0,75.71784103830174,77.1666,4837.25927734375,1.4487589616982604
27.1,75.77333404445234,77.1666,4813.78466796875,1.3932659555476619
27.200000000000003,75.82794240335322,77.1666,4790.5830078125,1.338657596646783
27.3,75.88167667163098,77.1666,4767.65869140625,1.2849233283690182
27.400000000000002,75.93454754145891,77.1666,4745.0048828125,1.2320524585410908
27.5,75.98656546524401,77.1666,4722.6220703125,1.1800345347559897
27.6,76.03774090022722,77.1666,4700.50341796875,1.1288590997727823
27.700000000000003,76.08808406378687,77.1666,4678.65380859375,1.0785159362131367
27.8,76.1376053247106,77.1666,4657.06103515625,1.0289946752893968
27.900000000000002,76.18631463234081,77.1666,4635.72607421875,0.9802853676591923
28.0,76.23422195707761,77.1666,4614.6513671875,0.9323780429223945
28.1,76.28133733899338,77.1666,4593.8310546875,0.885262661006621
28.200000000000003,76.32767061046103,77.1666,4573.25830078125,0.8389293895389756
28.3,76.37323136372862,77.1666,4552.9345703125,0.7933686362713814
28.400000000000002,76.4180292281674,77.1666,4532.8564453125,0.748570771832604
28.5,76.46207370704549,77.1666,4513.0234375,0.7045262929545117
